#employee_id|first_name|last_name|email|phone_number|hire_date|job_id|salary|manager_id|department_id|department_id1|department_name|location_id|job_id1|job_title|min_salary|max_salary|location_id1|street_address|postal_code|city|state_province|country_id|country_id1|country_name|region_id|region_id1|region_name
100|Steven|King|steven.king@sqltutorial.org|515.123.4567|1987-06-17|4|24000.00||9|9|Executive|1700|4|President|20000.00|40000.00|1700|2004 Charade Rd|98199|Seattle|Washington|US|US|United States of America|2|2|Americas
101|Neena|Kochhar|neena.kochhar@sqltutorial.org|515.123.4568|1989-09-21|5|17000.00|100|9|9|Executive|1700|5|Administration Vice President|15000.00|30000.00|1700|2004 Charade Rd|98199|Seattle|Washington|US|US|United States of America|2|2|Americas
102|Lex|De Haan|lex.de haan@sqltutorial.org|515.123.4569|1993-01-13|5|17000.00|100|9|9|Executive|1700|5|Administration Vice President|15000.00|30000.00|1700|2004 Charade Rd|98199|Seattle|Washington|US|US|United States of America|2|2|Americas
103|Alexander|Hunold|alexander.hunold@sqltutorial.org|590.423.4567|1990-01-03|9|9000.00|102|6|6|IT|1400|9|Programmer|4000.00|10000.00|1400|2014 Jabberwocky Rd|26192|Southlake|Texas|US|US|United States of America|2|2|Americas
104|Bruce|Ernst|bruce.ernst@sqltutorial.org|590.423.4568|1991-05-21|9|6000.00|103|6|6|IT|1400|9|Programmer|4000.00|10000.00|1400|2014 Jabberwocky Rd|26192|Southlake|Texas|US|US|United States of America|2|2|Americas
105|David|Austin|david.austin@sqltutorial.org|590.423.4569|1997-06-25|9|4800.00|103|6|6|IT|1400|9|Programmer|4000.00|10000.00|1400|2014 Jabberwocky Rd|26192|Southlake|Texas|US|US|United States of America|2|2|Americas
106|Valli|Pataballa|valli.pataballa@sqltutorial.org|590.423.4560|1998-02-05|9|4800.00|103|6|6|IT|1400|9|Programmer|4000.00|10000.00|1400|2014 Jabberwocky Rd|26192|Southlake|Texas|US|US|United States of America|2|2|Americas
107|Diana|Lorentz|diana.lorentz@sqltutorial.org|590.423.5567|1999-02-07|9|4200.00|103|6|6|IT|1400|9|Programmer|4000.00|10000.00|1400|2014 Jabberwocky Rd|26192|Southlake|Texas|US|US|United States of America|2|2|Americas
108|Nancy|Greenberg|nancy.greenberg@sqltutorial.org|515.124.4569|1994-08-17|7|12000.00|101|10|10|Finance|1700|7|Finance Manager|8200.00|16000.00|1700|2004 Charade Rd|98199|Seattle|Washington|US|US|United States of America|2|2|Americas
109|Daniel|Faviet|daniel.faviet@sqltutorial.org|515.124.4169|1994-08-16|6|9000.00|108|10|10|Finance|1700|6|Accountant|4200.00|9000.00|1700|2004 Charade Rd|98199|Seattle|Washington|US|US|United States of America|2|2|Americas
110|John|Chen|john.chen@sqltutorial.org|515.124.4269|1997-09-28|6|8200.00|108|10|10|Finance|1700|6|Accountant|4200.00|9000.00|1700|2004 Charade Rd|98199|Seattle|Washington|US|US|United States of America|2|2|Americas
111|Ismael|Sciarra|ismael.sciarra@sqltutorial.org|515.124.4369|1997-09-30|6|7700.00|108|10|10|Finance|1700|6|Accountant|4200.00|9000.00|1700|2004 Charade Rd|98199|Seattle|Washington|US|US|United States of America|2|2|Americas
112|Jose Manuel|Urman|jose manuel.urman@sqltutorial.org|515.124.4469|1998-03-07|6|7800.00|108|10|10|Finance|1700|6|Accountant|4200.00|9000.00|1700|2004 Charade Rd|98199|Seattle|Washington|US|US|United States of America|2|2|Americas
113|Luis|Popp|luis.popp@sqltutorial.org|515.124.4567|1999-12-07|6|6900.00|108|10|10|Finance|1700|6|Accountant|4200.00|9000.00|1700|2004 Charade Rd|98199|Seattle|Washington|US|US|United States of America|2|2|Americas
